model,variant,horizon,rel_wis
IEM_Health-CovidProject,omicron dominant,2,1.4072260939664376
ILM-EKF,omicron dominant,2,1.3492799479333764
ITWW-county_repro,omicron dominant,2,1.7742005960601681
JBUD-HMXK,omicron dominant,2,3.160265214705219
Karlen-pypm,omicron dominant,2,1.0282833023616185
MIT_CovidAnalytics-DELPHI,omicron dominant,2,1.6579345104881968
MOCOS-agent1,omicron dominant,2,0.8631912814420084
MUNI-ARIMA,omicron dominant,2,1.3662706661180346
MUNI-LaggedRegARIMA,omicron dominant,2,1.219047348375457
MUNI-VAR,omicron dominant,2,1.084841632485505
MUNI_DMS-SEIAR,omicron dominant,2,5.405150523985702
RobertWalraven-ESG,omicron dominant,2,1.4641872871056882
ULZF-SEIRC19SI,omicron dominant,2,1.134990288778181
UMass-MechBayes,omicron dominant,2,1.3012809126412037
UNED-PreCoV2,omicron dominant,2,1.7732925333870062
USC-SIkJalpha,omicron dominant,2,1.3413991642285479
epiMOX-SUIHTER,omicron dominant,2,0.5586386507940013
epiforecasts-EpiNow2,omicron dominant,2,1.6248928012567065
itwm-dSEIR,omicron dominant,2,1.1592264392232912
prolix-euclidean,omicron dominant,2,3.547632845999981
EuroCOVIDhub-baseline,omicron dominant,1,1.3236159868741433
EuroCOVIDhub-ensemble,omicron dominant,1,1
FIAS_FZJ-Epi1Ger,omicron dominant,1,1.6537558517431739
HZI-AgeExtendedSEIR,omicron dominant,1,0.8747397886383073
ICM-agentModel,omicron dominant,1,0.9887468388807289
IEM_Health-CovidProject,omicron dominant,1,1.296111701212981
ILM-EKF,omicron dominant,1,1.391758794957547
ITWW-county_repro,omicron dominant,1,1.7949717025181522
JBUD-HMXK,omicron dominant,1,4.1252535828781705
Karlen-pypm,omicron dominant,1,0.9131673879859562
MIT_CovidAnalytics-DELPHI,omicron dominant,1,1.7037515990860443
MOCOS-agent1,omicron dominant,1,0.9950788894311074
MUNI-ARIMA,omicron dominant,1,1.216449345888054
MUNI-LaggedRegARIMA,omicron dominant,1,1.717165383628509
MUNI-VAR,omicron dominant,1,0.8607121505162796
MUNI_DMS-SEIAR,omicron dominant,1,5.101793852798671
RobertWalraven-ESG,omicron dominant,1,1.274953163384401
SDSC_ISG-TrendModel,omicron dominant,1,1.6844739040830075
ULZF-SEIRC19SI,omicron dominant,1,0.9827522305781982
UMass-MechBayes,omicron dominant,1,1.7019612021140227
UNED-PreCoV2,omicron dominant,1,1.3769737800772863
USC-SIkJalpha,omicron dominant,1,1.3228758796994307
UpgUmibUsi-MultiBayes,omicron dominant,1,1.21569611126348
epiMOX-SUIHTER,omicron dominant,1,0.7700471428227887
epiforecasts-EpiNow2,omicron dominant,1,1.6030466055845976
itwm-dSEIR,omicron dominant,1,0.9540619670208496
prolix-euclidean,omicron dominant,1,2.5649784752069316
EuroCOVIDhub-baseline,delta intro,4,2.0209710433230264
EuroCOVIDhub-ensemble,delta intro,4,1
FIAS_FZJ-Epi1Ger,delta intro,4,2.22157698605724
HZI-AgeExtendedSEIR,delta intro,4,1.6186948308637175
ICM-agentModel,delta intro,4,1.1098516101915252
IEM_Health-CovidProject,delta intro,4,2.0751418206990224
ILM-EKF,delta intro,4,1.1389879005084922
ITWW-county_repro,delta intro,4,1.2388497959678628
Karlen-pypm,delta intro,4,1.6749589770299957
LANL-GrowthRate,delta intro,4,1.2151179171089725
LeipzigIMISE-SECIR,delta intro,4,2.2248277886338035
MIMUW-StochSEIR,delta intro,4,0.71727060499344375
MIT_CovidAnalytics-DELPHI,delta intro,4,1.5023704764894337
